TimeSeriesResponse{metaData=MetaData{information=Intraday (5min) open, high, low, close prices and volumesymbol=IBMlastRefreshed=2023-11-17 19:55:00timeZone=US/Easterninterval=5minoutputSize=Compact}, stockUnits=[
StockUnit{open=153.37, high=153.37, low=153.31, close=153.35, adjustedClose=0.0, volume=24093, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:10:00}, 
StockUnit{open=153.318, high=153.38, low=153.25, close=153.38, adjustedClose=0.0, volume=41233, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:05:00}, 
StockUnit{open=153.36, high=153.36, low=153.31, close=153.31, adjustedClose=0.0, volume=23456, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 14:00:00}, 
StockUnit{open=153.415, high=153.48, low=153.35, close=153.35, adjustedClose=0.0, volume=18877, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:55:00}, 
StockUnit{open=153.38, high=153.42, low=153.29, close=153.42, adjustedClose=0.0, volume=21726, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:50:00}, 
StockUnit{open=153.37, high=153.4, low=153.34, close=153.37, adjustedClose=0.0, volume=17476, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:45:00}, 
StockUnit{open=153.295, high=153.38, low=153.295, close=153.37, adjustedClose=0.0, volume=22652, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:40:00}, 
StockUnit{open=153.18, high=153.311, low=153.17, close=153.295, adjustedClose=0.0, volume=34556, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:35:00}, 
StockUnit{open=153.17, high=153.23, low=153.16, close=153.18, adjustedClose=0.0, volume=25520, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:30:00}, 
StockUnit{open=153.21, high=153.22, low=153.16, close=153.174, adjustedClose=0.0, volume=15196, dividendAmount=0.0, splitCoefficient=0.0, date=2023-11-17 13:25:00}, 
